iter	Passed	Remaining
804	25618	6205
805	25647	6173
806	25678	6141
807	25707	6108
808	25737	6076
809	25768	6044
810	25797	6011
811	25827	5979
812	25858	5947
813	25887	5915
814	25917	5883
815	25947	5851
816	25978	5819
817	26008	5786
818	26038	5754
819	26069	5722
820	26099	5690
821	26129	5658
822	26160	5626
823	26190	5594
824	26220	5561
825	26252	5530
826	26280	5497
827	26310	5465
828	26341	5433
829	26371	5401
830	26402	5369
831	26430	5336
832	26460	5304
833	26491	5272
834	26519	5240
835	26550	5208
836	26578	5175
837	26608	5143
838	26638	5111
839	26666	5079
840	26693	5046
841	26723	5014
842	26753	4982
843	26783	4950
844	26814	4918
845	26844	4886
846	26874	4854
847	26905	4822
848	26935	4790
849	26964	4758
850	26994	4726
851	27022	4694
852	27050	4661
853	27080	4629
854	27110	4597
855	27141	4565
856	27170	4533
857	27199	4501
858	27229	4469
859	27259	4437
860	27288	4405
861	27317	4373
862	27347	4341
863	27377	4309
864	27406	4277
865	27437	4245
866	27466	4213
867	27496	4181
868	27526	4149
869	27557	4117
870	27586	4085
871	27617	4053
872	27648	4022
873	27678	3990
874	27708	3958
875	27736	3926
876	27767	3894
877	27797	3862
878	27827	3830
879	27858	3798
880	27889	3767
881	27919	3735
882	27950	3703
883	27978	3671
884	28009	3639
885	28039	3607
886	28068	3575
887	28095	3543
888	28125	3511
889	28155	3479
890	28183	3447
891	28213	3416
892	28243	3384
893	28273	3352
894	28300	3320
895	28330	3288
896	28360	3256
897	28390	3224
898	28418	3192
899	28449	3161
900	28480	3129
901	28510	3097
902	28539	3065
903	28570	3034
904	28600	3002
905	28630	2970
906	28660	2938
907	28691	2907
908	28722	2875
909	28750	2843
910	28780	2811
911	28811	2780
912	28840	2748
913	28870	2716
914	28900	2684
915	28928	2652
916	28958	2621
917	28988	2589
918	29017	2557
919	29046	2525
920	29076	2494
921	29106	2462
922	29132	2430
923	29160	2398
924	29190	2366
925	29220	2335
926	29248	2303
927	29276	2271
928	29304	2239
929	29334	2207
930	29364	2176
931	29393	2144
932	29420	2112
933	29451	2081
934	29481	2049
935	29511	2017
936	29541	1986
937	29569	1954
938	29599	1922
939	29627	1891
940	29657	1859
941	29687	1827
942	29718	1796
943	29748	1764
944	29778	1733
945	29809	1701
946	29840	1670
947	29870	1638
948	29900	1606
949	29930	1575
950	29960	1543
951	29990	1512
952	30020	1480
953	30047	1448
954	30077	1417
955	30107	1385
